Date,WIKI/GOOG,WIKI/AMZN,WIKI/MCD,WIKI/DIS
2015-05-20,539.27,423.86,92.870719731633,106.48099453617
2015-05-21,542.51,431.63,92.100739735856,106.66458245778
2015-05-22,540.11,427.63,91.831710580705,106.53896966931
2015-05-26,532.32,425.47,91.340036607498,105.74664284971
2015-05-27,539.79,431.42,91.525573955878,106.6452574134
2015-05-28,539.78,426.57,90.29175058915,106.79985776845
2015-05-29,532.11,429.23,89.777027715767,106.6452574134
2015-06-01,533.99,430.92,90.048427049005,107.21534622263
2015-06-02,539.18,430.99,90.113937232891,107.01243325663
2015-06-03,540.31,436.59,90.329184979942,107.41825918862
2015-06-04,536.7,430.78,90.132654428286,106.57761975807
2015-06-05,533.33,426.95,89.41204240555,106.57761975807
2015-06-08,526.83,423.5,89.206153256196,105.60170501686
2015-06-09,526.69,425.48,88.653995992021,104.85769080821
2015-06-10,536.69,430.77,89.1874360608,106.28774409237
2015-06-11,534.61,432.97,89.458835394039,106.88682046816
2015-06-12,532.33,429.92,88.962829716051,106.23943148142
2015-06-15,527.2,423.67,88.251576291012,106.46166949179
2015-06-16,528.15,427.26,88.560410015042,107.31197144453
2015-06-17,529.26,427.81,89.112567279217,107.72745989871
2015-06-18,536.73,439.39,90.001634060516,109.39907623762
2015-06-19,536.69,434.92,89.917406681235,108.8193249062
2015-06-22,538.19,436.29,90.656735899368,109.69861442551
2015-06-23,540.48,445.99,90.946852428002,110.54891637825
2015-06-24,537.84,440.84,90.441488152316,109.93051495808
2015-06-25,535.23,440.1,89.646007347997,110.58756646701
2015-06-26,531.69,438.1,91.049797002679,111.10934266528
2015-06-29,521.52,429.86,89.318456428571,109.23481336038
2015-06-30,520.51,434.09,88.972188313749,110.28802827912
2015-07-01,521.84,437.39,89.617931554903,111.8823444405
2015-07-02,523.4,437.71,90.001634060516,111.72685781572
2015-07-06,522.86,436.04,89.514986980226,112.43626554127
2015-07-07,525.02,436.72,90.478922543108,113.79677350806
2015-07-08,516.83,429.7,89.692800336486,111.94065192479
2015-07-09,520.68,434.39,90.301109186848,112.33908640078
2015-07-10,530.13,443.51,91.386706519802,113.15539118086
2015-07-13,546.55,455.57,92.116677140237,114.71997534267
2015-07-14,561.1,465.57,92.444228059663,114.5256170617
2015-07-15,560.22,461.19,92.715627392901,114.96292319388
2015-07-16,579.85,475.48,91.583237071458,115.71120257561
2015-07-17,672.93,483.01,91.246327554334,115.5071263806
2015-07-20,663.02,488.1,91.236968956636,116.20681619209
2015-07-21,662.3,488.0,91.077872795772,115.94443251278
2015-07-22,662.1,488.27,91.321196335917,115.96386834088
2015-07-23,644.28,482.18,90.862625048721,115.4488188963
2015-07-24,623.56,529.42,89.936123876631,115.55571595084
2015-07-27,627.26,531.41,89.879972290444,114.91433362364
2015-07-28,628.0,526.03,91.08723139347,115.11840981865
2015-07-29,631.93,529.0,91.910787990884,116.45948195735
2015-07-30,632.59,536.76,92.80921336988,116.64412232427
2015-07-31,625.61,536.15,93.454956611034,116.61496858213
2015-08-03,631.21,535.03,93.043178312327,117.70337495556
2015-08-04,629.25,531.9,92.781137576787,118.25729605632
2015-08-05,643.78,537.01,93.398805024847,107.41210397819
2015-08-06,642.68,529.46,92.977668128442,105.48795699658
2015-08-07,635.3,522.62,92.575248427433,106.26539012046
2015-08-10,633.73,524.0,93.015102519234,107.86884593847
2015-08-11,660.78,527.46,92.472303852757,104.95347172391
2015-08-12,659.56,525.91,91.976298174769,103.97196240501
2015-08-13,656.45,529.66,92.996385323838,104.48701184958
2015-08-14,657.12,531.52,92.902799346859,104.13716694384
2015-08-17,660.87,535.22,94.203644426864,105.97385269901
2015-08-18,656.13,535.02,94.297230403843,103.92337283477
2015-08-19,660.9,532.92,94.615422725571,103.44719504639
2015-08-20,646.83,515.78,93.361370634055,97.198576313201
2015-08-21,612.48,494.47,90.900059439513,96.051862455477
2015-08-24,589.61,463.37,86.913296820216,92.670028366596
2015-08-25,582.06,466.37,85.359769602367,93.185077811167
2015-08-26,628.62,500.77,89.047057095332,96.430861103369
2015-08-27,637.61,518.37,91.08723139347,99.287927833631
2015-08-28,630.38,518.01,90.871983646419,99.589183169135
2015-08-31,618.25,512.89,89.710710504756,99.006108326224
2015-09-01,597.79,496.54,88.247317521359,96.702962696727
2015-09-02,614.34,510.55,90.673717500281,99.015826240273
2015-09-03,606.25,504.72,90.645393765119,99.113005380758
2015-09-04,600.7,499.0,89.550209338835,98.12177814781
2015-09-08,614.66,517.54,91.37236963429,101.07602401856
2015-09-09,612.72,516.89,90.097801551977,99.03526206837
2015-09-10,621.35,522.24,89.927859141002,99.705798137717
2015-09-11,625.77,529.44,91.967168072703,101.53276597884
2015-09-14,623.24,521.38,91.551753290319,100.89138365164
2015-09-15,635.14,522.37,92.703585186929,100.51238500374
2015-09-16,635.98,527.39,93.175647439637,101.02743444831
2015-09-17,642.9,538.87,92.373141610033,101.26066438548
2015-09-18,629.25,540.26,91.627283250753,99.939028074881
2015-09-21,635.44,548.39,92.429789080358,100.49294917565
2015-09-22,622.69,538.4,91.768901926565,99.598901083183
2015-09-23,622.36,536.07,91.938844337541,98.704852990721
2015-09-24,625.8,533.75,91.853873132053,97.781651156112
2015-09-25,611.97,524.25,92.137110483678,97.47067790656
2015-09-28,594.89,504.06,90.598187539848,95.711735463779
2015-09-29,594.97,496.07,92.033256788082,96.615501470291
2015-09-30,608.42,511.67,93.02458751877,99.317081575777
2015-10-01,611.29,520.72,93.260618645125,99.773823536057
2015-10-02,626.91,532.54,94.214184395596,100.09451469966
2015-10-05,641.47,543.68,95.517076213072,100.92053739378
2015-10-06,645.44,537.48,96.206287102027,100.84279408139
2015-10-07,642.36,541.94,96.083550916323,100.47351334755
2015-10-08,639.16,533.16,97.197617832715,101.65909886147
2015-10-09,643.61,539.8,97.018234176686,102.58230069608
2015-10-12,646.67,550.19,97.471413939286,103.35001590591
2015-10-13,652.3,548.9,97.603591370045,103.58324584307
2015-10-14,651.16,544.83,97.074881647011,102.7475052349
2015-10-15,661.74,562.44,97.867946231561,104.84657466938
2015-10-16,662.2,570.76,98.963130657846,105.18670166108
